Bridge_ID,Cumulative_Delay
1000005.0,1393536
1000397.0,1068670
1000245.0,820935
1000393.0,753258
1000047.0,595552
1000029.0,519752
1000357.0,364537
1000381.0,360738
1000285.0,358594
1000087.0,353250
1000143.0,344811
1000401.0,327565
1000249.0,312654
1000103.0,311480
1000185.0,272281
1000125.0,259574
1000421.0,247408
1000135.0,241362
1000425.0,234521
1000407.0,225766
1000041.0,220738
1000429.0,202885
1000191.0,201038
1000371.0,187985
1000091.0,187730
1000085.0,171095
1000095.0,170344
1000151.0,168425
1000193.0,142236
1000331.0,139523
1000117.0,135976
1000311.0,131318
1000169.0,130407
1000147.0,128206
1000109.0,127536
1000027.0,121647
1000007.0,121558
1000037.0,120399
1000049.0,120172
1000225.0,118595
1000201.0,107212
1000217.0,105154
1000153.0,100125
1000015.0,98986
1000137.0,95359
1000229.0,95054
1000121.0,90723
1000211.0,85137
1000389.0,81407
1000427.0,79616
1000351.0,76840
1000077.0,76782
1000167.0,76736
1000105.0,75113
1000063.0,73609
1000377.0,73133
1000113.0,72520
1000173.0,71411
1000215.0,71331
1000033.0,71090
1000165.0,70026
1000209.0,68455
1000157.0,67741
1000205.0,66301
1000145.0,65161
1000303.0,64703
1000093.0,64655
1000329.0,63548
1000101.0,60309
1000141.0,57839
1000287.0,56483
1000199.0,55822
1000179.0,55075
1000163.0,54787
1000203.0,54633
1000081.0,53145
1000247.0,51113
1000025.0,50216
1000013.0,47465
1000133.0,42198
1000281.0,41733
1000039.0,41042
1000119.0,39484
1000089.0,38935
1000391.0,38683
1000175.0,38364
1000339.0,37801
1000171.0,37499
1000207.0,37033
1000375.0,36986
1000353.0,36239
1000239.0,36207
1000115.0,36155
1000279.0,35890
1000255.0,35802
1000031.0,35471
1000349.0,34328
1000219.0,32148
1000405.0,31494
1000107.0,27474
1000177.0,26761
1000019.0,26380
1000309.0,25617
1000297.0,25572
1000341.0,25126
1000009.0,23911
1000237.0,23393
1000035.0,23007
1000221.0,22233
1000291.0,21825
1000213.0,21345
1000275.0,21017
1000411.0,20718
1000257.0,20463
1000293.0,20436
1000195.0,19969
1000267.0,19737
1000073.0,19675
1000197.0,19454
1000017.0,19348
1000233.0,19175
1000055.0,18724
1000159.0,18175
1000399.0,18115
1000155.0,17969
1000161.0,15985
1000243.0,15692
1000363.0,15208
1000127.0,14738
1000183.0,14512
1000053.0,14358
1000131.0,14275
1000315.0,13865
1000359.0,13600
1000227.0,13583
1000273.0,13303
