Unique_ID,Time_In_Model,Seed
Truck57600,458,1
Truck57601,458,1
Truck57602,458,1
Truck57603,458,1
Truck57604,458,1
Truck57605,458,1
Truck57606,458,1
Truck57607,458,1
Truck57608,458,1
Truck57609,458,1
Truck57610,458,1
Truck57611,458,1
Truck57612,458,1
Truck57613,458,1
Truck57614,458,1
Truck57615,458,1
Truck57616,458,1
Truck57617,458,1
Truck57618,458,1
Truck57619,458,1
Truck57620,458,1
Truck57621,458,1
Truck57622,458,1
Truck57623,458,1
Truck57624,458,1
Truck57625,458,1
Truck57626,458,1
Truck57627,458,1
Truck57628,458,1
Truck57629,458,1
Truck57630,458,1
Truck57631,458,1
Truck57632,458,1
Truck57633,458,1
Truck57634,458,1
Truck57635,458,1
Truck57636,458,1
Truck57637,458,1
Truck57638,458,1
Truck57639,458,1
Truck57640,458,1
Truck57641,458,1
Truck57642,458,1
Truck57643,458,1
Truck57644,458,1
Truck57645,458,1
Truck57646,458,1
Truck57647,458,1
Truck57648,458,1
Truck57649,458,1
Truck57650,458,1
Truck57651,458,1
Truck57652,458,1
Truck57653,458,1
Truck57654,458,1
Truck57655,458,1
Truck57656,458,1
Truck57657,458,1
Truck57658,458,1
Truck57659,458,1
Truck57660,458,1
Truck57661,458,1
Truck57662,458,1
Truck57663,458,1
Truck57664,458,1
Truck57665,458,1
Truck57666,458,1
Truck57667,458,1
Truck57668,458,1
Truck57669,458,1
Truck57670,458,1
Truck57671,458,1
Truck57672,458,1
Truck57673,458,1
Truck57674,458,1
Truck57675,458,1
Truck57676,458,1
Truck57677,458,1
Truck57678,458,1
Truck57679,458,1
Truck57680,458,1
Truck57681,458,1
Truck57682,458,1
Truck57683,458,1
Truck57684,458,1
Truck57685,458,1
Truck57686,458,1
Truck57687,458,1
Truck57688,458,1
Truck57689,458,1
Truck57690,458,1
Truck57691,458,1
Truck57692,458,1
Truck57693,458,1
Truck57694,458,1
Truck57695,458,1
Truck57696,458,1
Truck57697,458,1
Truck57698,458,1
Truck57699,458,1
Truck57700,458,1
Truck57701,458,1
Truck57702,458,1
Truck57703,458,1
Truck57704,458,1
Truck57705,458,1
Truck57706,458,1
Truck57707,458,1
Truck57708,458,1
Truck57709,458,1
Truck57710,458,1
Truck57711,458,1
Truck57712,458,1
Truck57713,458,1
Truck57714,458,1
Truck57715,458,1
Truck57716,458,1
Truck57717,458,1
Truck57718,458,1
Truck57719,458,1
Truck57720,458,1
Truck57721,458,1
Truck57722,458,1
Truck57723,458,1
Truck57724,458,1
Truck57725,458,1
Truck57726,458,1
Truck57727,458,1
Truck57728,458,1
Truck57729,458,1
Truck57730,458,1
Truck57731,458,1
Truck57732,458,1
Truck57733,458,1
Truck57734,458,1
Truck57735,458,1
Truck57736,458,1
Truck57737,458,1
Truck57738,458,1
Truck57739,458,1
Truck57740,458,1
Truck57741,458,1
Truck57742,458,1
Truck57743,458,1
Truck57744,458,1
Truck57745,458,1
Truck57746,458,1
Truck57747,458,1
Truck57748,458,1
Truck57749,458,1
Truck57750,458,1
Truck57751,458,1
Truck57752,458,1
Truck57753,458,1
Truck57754,458,1
Truck57755,458,1
Truck57756,458,1
Truck57757,458,1
Truck57758,458,1
Truck57759,458,1
Truck57760,458,1
Truck57761,458,1
Truck57762,458,1
Truck57763,458,1
Truck57764,458,1
Truck57765,458,1
Truck57766,458,1
Truck57767,458,1
Truck57768,458,1
Truck57769,458,1
Truck57770,458,1
Truck57771,458,1
Truck57772,458,1
Truck57773,458,1
Truck57774,458,1
Truck57775,458,1
Truck57776,458,1
Truck57777,458,1
Truck57778,458,1
Truck57779,458,1
Truck57780,458,1
Truck57781,458,1
Truck57782,458,1
Truck57783,458,1
Truck57784,458,1
Truck57785,458,1
Truck57786,458,1
Truck57787,458,1
Truck57788,458,1
Truck57789,458,1
Truck57790,458,1
Truck57791,458,1
Truck57792,458,1
Truck57793,458,1
Truck57794,458,1
Truck57795,458,1
Truck57796,458,1
Truck57797,458,1
Truck57798,458,1
Truck57799,458,1
Truck57800,458,1
Truck57801,458,1
Truck57802,458,1
Truck57803,458,1
Truck57804,458,1
Truck57805,458,1
Truck57806,458,1
Truck57807,458,1
Truck57808,458,1
Truck57809,458,1
Truck57810,458,1
Truck57811,458,1
Truck57812,458,1
Truck57813,458,1
Truck57814,458,1
Truck57815,458,1
Truck57816,458,1
Truck57817,458,1
Truck57818,458,1
Truck57819,458,1
Truck57820,458,1
Truck57821,458,1
Truck57822,458,1
Truck57823,458,1
Truck57824,458,1
Truck57825,458,1
Truck57826,458,1
Truck57827,458,1
Truck57828,458,1
Truck57829,458,1
Truck57830,458,1
Truck57831,458,1
Truck57832,458,1
Truck57833,458,1
Truck57834,458,1
Truck57835,458,1
Truck57836,458,1
Truck57837,458,1
Truck57838,458,1
Truck57839,458,1
Truck57840,458,1
Truck57841,458,1
Truck57842,458,1
Truck57843,458,1
Truck57844,458,1
Truck57845,458,1
Truck57846,458,1
Truck57847,458,1
Truck57848,458,1
Truck57849,458,1
Truck57850,458,1
Truck57851,458,1
Truck57852,458,1
Truck57853,458,1
Truck57854,458,1
Truck57855,458,1
Truck57856,458,1
Truck57857,458,1
Truck57858,458,1
Truck57859,458,1
Truck57860,458,1
Truck57861,458,1
Truck57862,458,1
Truck57863,458,1
Truck57864,458,1
Truck57865,458,1
Truck57866,458,1
Truck57867,458,1
Truck57868,458,1
Truck57869,458,1
Truck57870,458,1
Truck57871,458,1
Truck57872,458,1
Truck57873,458,1
Truck57874,458,1
Truck57875,458,1
Truck57876,458,1
Truck57877,458,1
Truck57878,458,1
Truck57879,458,1
Truck57880,458,1
Truck57881,458,1
Truck57882,458,1
Truck57883,458,1
Truck57884,458,1
Truck57885,458,1
Truck57886,458,1
Truck57887,458,1
Truck57888,458,1
Truck57889,458,1
Truck57890,458,1
Truck57891,458,1
Truck57892,458,1
Truck57893,458,1
Truck57894,458,1
Truck57895,458,1
Truck57896,458,1
Truck57897,458,1
Truck57898,458,1
Truck57899,458,1
Truck57900,458,1
Truck57901,458,1
Truck57902,458,1
Truck57903,458,1
Truck57904,458,1
Truck57905,458,1
Truck57906,458,1
Truck57907,458,1
Truck57908,458,1
Truck57909,458,1
Truck57910,458,1
Truck57911,458,1
Truck57912,458,1
Truck57913,458,1
Truck57914,458,1
Truck57915,458,1
Truck57916,458,1
Truck57917,458,1
Truck57918,458,1
Truck57919,458,1
Truck57920,458,1
Truck57921,458,1
Truck57922,458,1
Truck57923,458,1
Truck57924,458,1
Truck57925,458,1
Truck57926,458,1
Truck57927,458,1
Truck57928,458,1
Truck57929,458,1
Truck57930,458,1
Truck57931,458,1
Truck57932,458,1
Truck57933,458,1
Truck57934,458,1
Truck57935,458,1
Truck57936,458,1
Truck57937,458,1
Truck57938,458,1
Truck57939,458,1
Truck57940,458,1
Truck57941,458,1
Truck57942,458,1
Truck57943,458,1
Truck57944,458,1
Truck57945,458,1
Truck57946,458,1
Truck57947,458,1
Truck57948,458,1
Truck57949,458,1
Truck57950,458,1
Truck57951,458,1
Truck57952,458,1
Truck57953,458,1
Truck57954,458,1
Truck57955,458,1
Truck57956,458,1
Truck57957,458,1
Truck57958,458,1
Truck57959,458,1
Truck57960,458,1
Truck57961,458,1
Truck57962,458,1
Truck57963,458,1
Truck57964,458,1
Truck57965,458,1
Truck57966,458,1
Truck57967,458,1
Truck57968,458,1
Truck57969,458,1
Truck57970,458,1
Truck57971,458,1
Truck57972,458,1
Truck57973,458,1
Truck57974,458,1
Truck57975,458,1
Truck57976,458,1
Truck57977,458,1
Truck57978,458,1
Truck57979,458,1
Truck57980,458,1
Truck57981,458,1
Truck57982,458,1
Truck57983,458,1
Truck57984,458,1
Truck57985,458,1
Truck57986,458,1
Truck57987,458,1
Truck57988,458,1
Truck57989,458,1
Truck57990,458,1
Truck57991,458,1
Truck57992,458,1
Truck57993,458,1
Truck57994,458,1
Truck57995,458,1
Truck57996,458,1
Truck57997,458,1
Truck57998,458,1
Truck57999,458,1
Truck58000,458,1
Truck58001,458,1
Truck58002,458,1
Truck58003,458,1
Truck58004,458,1
Truck58005,458,1
Truck58006,458,1
Truck58007,458,1
Truck58008,458,1
Truck58009,458,1
Truck58010,458,1
Truck58011,458,1
Truck58012,458,1
Truck58013,458,1
Truck58014,458,1
Truck58015,458,1
Truck58016,458,1
Truck58017,458,1
Truck58018,458,1
Truck58019,458,1
Truck58020,458,1
Truck58021,458,1
Truck58022,458,1
Truck58023,458,1
Truck58024,458,1
Truck58025,458,1
Truck58026,458,1
Truck58027,458,1
Truck58028,458,1
Truck58029,458,1
Truck58030,458,1
Truck58031,458,1
Truck58032,458,1
Truck58033,458,1
Truck58034,458,1
Truck58035,458,1
Truck58036,458,1
Truck58037,458,1
Truck58038,458,1
Truck58039,458,1
Truck58040,458,1
Truck58041,458,1
Truck58042,458,1
Truck58043,458,1
Truck58044,458,1
Truck58045,458,1
Truck58046,458,1
Truck58047,458,1
Truck58048,458,1
Truck58049,458,1
Truck58050,458,1
Truck58051,458,1
Truck58052,458,1
Truck58053,458,1
Truck58054,458,1
Truck58055,458,1
Truck58056,458,1
Truck58057,458,1
Truck58058,458,1
Truck58059,458,1
Truck58060,458,1
Truck58061,458,1
Truck58062,458,1
Truck58063,458,1
Truck58064,458,1
Truck58065,458,1
Truck58066,458,1
Truck58067,458,1
Truck58068,458,1
Truck58069,458,1
Truck58070,458,1
Truck58071,458,1
Truck58072,458,1
Truck58073,458,1
Truck58074,458,1
Truck58075,458,1
Truck58076,458,1
Truck58077,458,1
Truck58078,458,1
Truck58079,458,1
Truck58080,458,1
Truck58081,458,1
Truck58082,458,1
Truck58083,458,1
Truck58084,458,1
Truck58085,458,1
Truck58086,458,1
Truck58087,458,1
Truck58088,458,1
Truck58089,458,1
Truck58090,458,1
Truck58091,458,1
Truck58092,458,1
Truck58093,458,1
Truck58094,458,1
Truck58095,458,1
Truck58096,458,1
Truck58097,458,1
Truck58098,458,1
Truck58099,458,1
Truck58100,458,1
Truck58101,458,1
Truck58102,458,1
Truck58103,458,1
Truck58104,458,1
Truck58105,458,1
Truck58106,458,1
Truck58107,458,1
Truck58108,458,1
Truck58109,458,1
Truck58110,458,1
Truck58111,458,1
Truck58112,458,1
Truck58113,458,1
Truck58114,458,1
Truck58115,458,1
Truck58116,458,1
Truck58117,458,1
Truck58118,458,1
Truck58119,458,1
Truck58120,458,1
Truck58121,458,1
Truck58122,458,1
Truck58123,458,1
Truck58124,458,1
Truck58125,458,1
Truck58126,458,1
Truck58127,458,1
Truck58128,458,1
Truck58129,458,1
Truck58130,458,1
Truck58131,458,1
Truck58132,458,1
Truck58133,458,1
Truck58134,458,1
Truck58135,458,1
Truck58136,458,1
Truck58137,458,1
Truck58138,458,1
Truck58139,458,1
Truck58140,458,1
Truck58141,458,1
Truck58142,458,1
Truck58143,458,1
Truck58144,458,1
Truck58145,458,1
Truck58146,458,1
Truck58147,458,1
Truck58148,458,1
Truck58149,458,1
Truck58150,458,1
Truck58151,458,1
Truck58152,458,1
Truck58153,458,1
Truck58154,458,1
Truck58155,458,1
Truck58156,458,1
Truck58157,458,1
Truck58158,458,1
Truck58159,458,1
Truck58160,458,1
Truck58161,458,1
Truck58162,458,1
Truck58163,458,1
Truck58164,458,1
Truck58165,458,1
Truck58166,458,1
Truck58167,458,1
Truck58168,458,1
Truck58169,458,1
Truck58170,458,1
Truck58171,458,1
Truck58172,458,1
Truck58173,458,1
Truck58174,458,1
Truck58175,458,1
Truck58176,458,1
Truck58177,458,1
Truck58178,458,1
Truck58179,458,1
Truck58180,458,1
Truck58181,458,1
Truck58182,458,1
Truck58183,458,1
Truck58184,458,1
Truck58185,458,1
Truck58186,458,1
Truck58187,458,1
Truck58188,458,1
Truck58189,458,1
Truck58190,458,1
Truck58191,458,1
Truck58192,458,1
Truck58193,458,1
Truck58194,458,1
Truck58195,458,1
Truck58196,458,1
Truck58197,458,1
Truck58198,458,1
Truck58199,458,1
Truck58200,458,1
Truck58201,458,1
Truck58202,458,1
Truck58203,458,1
Truck58204,458,1
Truck58205,458,1
Truck58206,458,1
Truck58207,458,1
Truck58208,458,1
Truck58209,458,1
Truck58210,458,1
Truck58211,458,1
Truck58212,458,1
Truck58213,458,1
Truck58214,458,1
Truck58215,458,1
Truck58216,458,1
Truck58217,458,1
Truck58218,458,1
Truck58219,458,1
Truck58220,458,1
Truck58221,458,1
Truck58222,458,1
Truck58223,458,1
Truck58224,458,1
Truck58225,458,1
Truck58226,458,1
Truck58227,458,1
Truck58228,458,1
Truck58229,458,1
Truck58230,458,1
Truck58231,458,1
Truck58232,458,1
Truck58233,458,1
Truck58234,458,1
Truck58235,458,1
Truck58236,458,1
Truck58237,458,1
Truck58238,458,1
Truck58239,458,1
Truck58240,458,1
Truck58241,458,1
Truck58242,458,1
Truck58243,458,1
Truck58244,458,1
Truck58245,458,1
Truck58246,458,1
Truck58247,458,1
Truck58248,458,1
Truck58249,458,1
Truck58250,458,1
Truck58251,458,1
Truck58252,458,1
Truck58253,458,1
Truck58254,458,1
Truck58255,458,1
Truck58256,458,1
Truck58257,458,1
Truck58258,458,1
Truck58259,458,1
Truck58260,458,1
Truck58261,458,1
Truck58262,458,1
Truck58263,458,1
Truck58264,458,1
Truck58265,458,1
Truck58266,458,1
Truck58267,458,1
Truck58268,458,1
Truck58269,458,1
Truck58270,458,1
Truck58271,458,1
Truck58272,458,1
Truck58273,458,1
Truck58274,458,1
Truck58275,458,1
Truck58276,458,1
Truck58277,458,1
Truck58278,458,1
Truck58279,458,1
Truck58280,458,1
Truck58281,458,1
Truck58282,458,1
Truck58283,458,1
Truck58284,458,1
Truck58285,458,1
Truck58286,458,1
Truck58287,458,1
Truck58288,458,1
Truck58289,458,1
Truck58290,458,1
Truck58291,458,1
Truck58292,458,1
Truck58293,458,1
Truck58294,458,1
Truck58295,458,1
Truck58296,458,1
Truck58297,458,1
Truck58298,458,1
Truck58299,458,1
Truck58300,458,1
Truck58301,458,1
Truck58302,458,1
Truck58303,458,1
Truck58304,458,1
Truck58305,458,1
Truck58306,458,1
Truck58307,458,1
Truck58308,458,1
Truck58309,458,1
Truck58310,458,1
Truck58311,458,1
Truck58312,458,1
Truck58313,458,1
Truck58314,458,1
Truck58315,458,1
Truck58316,458,1
Truck58317,458,1
Truck58318,458,1
Truck58319,458,1
Truck58320,458,1
Truck58321,458,1
Truck58322,458,1
Truck58323,458,1
Truck58324,458,1
Truck58325,458,1
Truck58326,458,1
Truck58327,458,1
Truck58328,458,1
Truck58329,458,1
Truck58330,458,1
Truck58331,458,1
