road,id,model_type,name,lat,lon,length,condition
N1,1000000,source,source,23.69873866,90.4588610799999,4.0,
N1,1000001,bridge,bridge 1,23.69873866,90.4588610799999,11.3,A
N1,1000002,link,link 1,0.0,0.0,4.925,
N1,1000003,bridge,bridge 2,23.6946638363636,90.4877749181818,6.6,A
N1,1000004,link,link 2,4.925,4.925,4.051000000000001,
N1,1000005,bridge,bridge 3,23.7050598925675,90.5232141463513,394.23,A
N1,1000006,link,link 3,8.976,8.976,1.904,
N1,1000007,bridge,bridge 4,23.6943906141361,90.5375740774869,6.3,A
N1,1000008,link,link 4,10.88,10.88,0.01699999999999946,
N1,1000009,bridge,bridge 5,23.6943023869158,90.5377073719626,6.3,A
N1,1000010,link,link 5,10.897,10.897,0.39899999999999913,
N1,1000011,bridge,bridge 6,23.6923601518691,90.5409183897196,8.3,A
N1,1000012,link,link 6,11.296,11.296,0.9430000000000014,
N1,1000013,bridge,bridge 7,23.6884123260204,90.5485585290816,9.3,A
N1,1000014,link,link 7,12.239,12.239,0.013999999999999346,
N1,1000015,bridge,bridge 8,23.6883197331632,90.548649807653,6.1,A
N1,1000016,link,link 8,12.253,12.253,0.40700000000000003,
N1,1000017,bridge,bridge 9,23.685583027027,90.551207981081,27.5,A
N1,1000018,link,link 9,12.66,12.66,0.0,
N1,1000019,bridge,bridge 10,23.685583027027,90.551207981081,26.3,A
N1,1000020,link,link 10,12.66,12.66,0.0,
N1,1000021,bridge,bridge 11,23.685583027027,90.551207981081,26.3,A
N1,1000022,link,link 11,12.66,12.66,0.02800000000000047,
N1,1000023,bridge,bridge 12,23.6853619779342,90.5513591765258,27.5,A
N1,1000024,link,link 12,12.688,12.688,0.8859999999999992,
N1,1000025,bridge,bridge 13,23.6778035,90.5558194349999,11.9,A
N1,1000026,link,link 13,13.574,13.574,3.6480000000000015,
N1,1000027,bridge,bridge 14,23.65397226,90.57741042,20.45,A
N1,1000028,link,link 14,17.222,17.222,0.0,
N1,1000029,bridge,bridge 15,23.65397226,90.57741042,20.5,A
N1,1000030,link,link 15,17.222,17.222,0.8709999999999987,
N1,1000031,bridge,bridge 16,23.6497543993548,90.5845490085483,25.5,A
N1,1000032,link,link 16,18.093,18.093,1.6670000000000016,
N1,1000033,bridge,bridge 17,23.6379543715384,90.5936673976923,6.0,A
N1,1000034,link,link 17,19.76,19.76,1.4239999999999995,
N1,1000035,bridge,bridge 18,23.6284668507692,90.6023015723077,86.92,A
N1,1000036,link,link 18,21.184,21.184,0.0,
N1,1000037,bridge,bridge 19,23.6284668507692,90.6023015723077,89.75,A
N1,1000038,link,link 19,21.184,21.184,0.0,
N1,1000039,bridge,bridge 20,23.6284668507692,90.6023015723077,89.2,A
N1,1000040,link,link 20,21.184,21.184,1.411999999999999,
N1,1000041,bridge,bridge 21,23.6176407964705,90.6095506105882,224.8,A
N1,1000042,link,link 21,22.596,22.596,0.48499999999999943,
N1,1000043,bridge,bridge 22,23.613587384385,90.6109029561497,119.32,A
N1,1000044,link,link 22,23.081,23.081,0.0,
N1,1000045,bridge,bridge 23,23.613587384385,90.6109029561497,119.48,A
N1,1000046,link,link 23,23.081,23.081,0.0,
N1,1000047,bridge,bridge 24,23.613587384385,90.6109029561497,120.1,A
N1,1000048,link,link 24,23.081,23.081,1.3120000000000012,
N1,1000049,bridge,bridge 25,23.6027595885583,90.6155316965675,924.85,A
N1,1000050,link,link 25,24.393,24.393,1.7219999999999978,
N1,1000051,bridge,bridge 26,23.5929818827893,90.6279699370919,5.6,A
N1,1000052,link,link 26,26.115,26.115,0.3370000000000033,
N1,1000053,bridge,bridge 27,23.5908088547468,90.6302368598101,5.5,A
N1,1000054,link,link 27,26.452,26.452,0.6679999999999993,
N1,1000055,bridge,bridge 28,23.58631812254,90.6345094207093,5.6,A
N1,1000056,link,link 28,27.12,27.12,1.1950000000000003,
N1,1000057,bridge,bridge 29,23.5779800248475,90.6419193089939,172.1,A
N1,1000058,link,link 29,28.315,28.315,0.0,
N1,1000059,bridge,bridge 30,23.5779800248475,90.6419193089939,173.25,A
N1,1000060,link,link 30,28.315,28.315,0.0,
N1,1000061,bridge,bridge 31,23.5779800248475,90.6419193089939,163.5,A
N1,1000062,link,link 31,28.315,28.315,0.8230000000000004,
N1,1000063,bridge,bridge 32,23.5716306256965,90.6454159236842,29.85,A
N1,1000064,link,link 32,29.138,29.138,0.0,
N1,1000065,bridge,bridge 33,23.5716306256965,90.6454159236842,29.77,A
N1,1000066,link,link 33,29.138,29.138,0.0,
N1,1000067,bridge,bridge 34,23.5716306256965,90.6454159236842,29.0,A
N1,1000068,link,link 34,29.138,29.138,0.0,
N1,1000069,bridge,bridge 35,23.5716306256965,90.6454159236842,29.0,A
N1,1000070,link,link 35,29.138,29.138,0.7039999999999971,
N1,1000071,bridge,bridge 36,23.5660033956521,90.6486237247282,34.7,A
N1,1000072,link,link 36,29.842,29.842,1.0660000000000025,
N1,1000073,bridge,bridge 37,23.5591910296296,90.6557475703703,27.4,A
N1,1000074,link,link 37,30.908,30.908,0.0,
N1,1000075,bridge,bridge 38,23.5591910296296,90.6557475703703,27.4,A
N1,1000076,link,link 38,30.908,30.908,0.0,
N1,1000077,bridge,bridge 39,23.5591910296296,90.6557475703703,26.3,A
N1,1000078,link,link 39,30.908,30.908,0.5640000000000001,
