road,type,condition,name,lat,lon,length
N1,Box Culvert,A,.,23.7028888888888,90.4503888888889,11.3
N1,Box Culvert,A,.,23.6936111111111,90.4788333333333,6.6
N1,PC Girder Bridge,A,Kanch pur Bridge.,23.7045833,90.5188327,394.23
N1,PC Girder Bridge,C,KANCHPUR PC GIRDER BRIDGE,23.7020833333333,90.5159166666666,397.0
N1,Box Culvert,B,KATCHPUR BOX CULVERT,23.7020555555555,90.5281944444444,8.0
N1,Box Culvert,A,NOYAPARA CULVERT,23.6998333333333,90.5307222222222,6.3
N1,Box Culvert,A,ADUPUR CULVERT,23.6996666666666,90.5307222222222,6.3
N1,Box Culvert,A,NAYABARI KASPUR BOX CULVERT,23.6973611111111,90.5338333333333,8.3
N1,Box Culvert,B,NAYABARI BOX CULVERT,23.6943055555555,90.5378611111111,10.6
N1,Box Culvert,A,KHAS PARA BOX CULVERT,23.6923333333333,90.541,9.3
N1,Box Culvert,A,DAWAN BAG BOX CULVERT,23.6925555555555,90.5411388888888,6.1
N1,PC Girder Bridge,A,MADANPUR BRIDGE(L),23.6911111111111,90.5448888888888,26.3
N1,PC Girder Bridge,A,Madanpur Bridge.(L),23.6854997,90.5512778,27.5
N1,PC Girder Bridge,A,Madanpur Bridge(R),23.6853619779342,90.5513591765258,27.5
N1,Box Culvert,A,KAWTALA BOX CULVERT,23.6856111111111,90.5511944444444,11.9
N1,Box Culvert,B,MALIBAG BOX CULVERT,23.6706111111111,90.56,5.55
N1,PC Girder Bridge,B,LANGOLBANDO PC GIDER BRIDGE,23.6591388888888,90.5696944444444,159.5
N1,RCC Girder Bridge,C,Langalbandh Bridge.,23.6559167,90.5745271,159.52
N1,PC Girder Bridge,A,Darikandi Bridge (R),23.6506944,90.5829993,20.45
N1,PC Girder Bridge,A,Darikandi Bridge (L),23.6508889,90.5826382,20.5
N1,PC Girder Bridge,B,DARIKANDI BRIDGE (R),23.6560833333333,90.5743888888888,20.0
N1,PC Girder Bridge,B,DARIKANDI BRIDGE (L),23.6560555555555,90.5743611111111,20.0
N1,PC Girder Bridge,B,SONARKALI BRIDGE(L),23.654,90.5772777777777,24.5
N1,PC Girder Bridge,B,Sonakhal Bridge(R),23.6497543993548,90.5845490085483,25.5
N1,PC Girder Bridge,B,Mollik para Bridge(R),23.6397497,90.5926941,40.33
N1,PC Girder Bridge,B,Mollik para Bridge(L),23.6449441,90.5899163,40.4
N1,PC Girder Bridge,B,MOLLIK PARA P.C(L),23.6509444444444,90.5826944444444,40.5
