road,model_type,condition,name,lat,lon,length,chainage,road name2,id
N1,sourcesink,,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,0.1,0,,1000000
N1,link,,link_1,23.70288889,90.45038889,1800,0,,1000001
N1,bridge,A,.,23.70288889,90.45038889,3125,1.8,,1000002
N1,link,,link_2,23.69361111,90.47883333,3838,1.8,,1000003
N1,bridge,A,.,23.69361111,90.47883333,213,4.925,,1000004
N1,link,,link_3,23.7060833,90.5215271,1567,4.925,,1000005
N1,intersection,,,23.7060833,90.5215271,337,8.763,N2,1000006
N1,link,,link_4,23.70208333,90.51591667,17,8.763,,1000007
N1,bridge,C,KANCHPUR PC GIRDER BRIDGE,23.70208333,90.51591667,399,8.976,,1000008
N1,link,,link_5,23.70205556,90.52819444,512,8.976,,1000009
N1,bridge,B,KATCHPUR BOX CULVERT,23.70205556,90.52819444,128,10.543,,1000010
N1,link,,link_6,23.69983333,90.53072222,303,10.543,,1000011
N1,bridge,A,NOYAPARA CULVERT,23.69983333,90.53072222,14,10.88,,1000012
N1,link,,link_7,23.69966667,90.53072222,407,10.88,,1000013
N1,bridge,A,ADUPUR CULVERT,23.69966667,90.53072222,28,10.897,,1000014
N1,link,,link_8,23.69736111,90.53383333,886,10.897,,1000015
N1,bridge,A,NAYABARI KASPUR BOX CULVERT,23.69736111,90.53383333,1891,11.296,,1000016
N1,link,,link_9,23.69430556,90.53786111,1669,11.296,,1000017
N1,bridge,B,NAYABARI BOX CULVERT,23.69430556,90.53786111,88,11.808,,1000018
N1,link,,link_10,23.6904163,90.546583,500,11.808,,1000019
N1,intersection,,,23.6904163,90.546583,371,11.936,N105,1000020
N1,link,,link_11,23.69233333,90.541,649,11.936,,1000021
N1,bridge,A,KHAS PARA BOX CULVERT,23.69233333,90.541,1018,12.239,,1000022
N1,link,,link_12,23.69255556,90.54113889,637,12.239,,1000023
N1,bridge,A,DAWAN BAG BOX CULVERT,23.69255556,90.54113889,787,12.253,,1000024
N1,link,,link_13,23.6854997,90.5512778,1144,12.253,,1000025
N1,bridge,A,Madanpur Bridge.(L),23.6854997,90.5512778,268,12.66,,1000026
N1,link,,link_14,23.68536198,90.55135918,485,12.66,,1000027
N1,bridge,A,Madanpur Bridge(R),23.68536198,90.55135918,1312,12.688,,1000028
N1,link,,link_15,23.68561111,90.55119444,1722,12.688,,1000029
N1,bridge,A,KAWTALA BOX CULVERT,23.68561111,90.55119444,337,13.574,,1000030
