road name2,road,model_type,condition,name,lat,lon,length,chainage
N2,N1,intersection,,,23.7060833,90.5215271,0.0,8.763
N102,N1,intersection,,,23.4789716,91.118166,0.0,81.846
N104,N1,intersection,,,23.0095556,91.3813604,0.0,145.409
N105,N1,intersection,,,23.6904163,90.546583,0.0,11.936
N1,N2,intersection,,,23.7059167,90.5214438,0.0,0
N1,N2,intersection,,,23.785333,90.5685549,0.0,11.464
N1,N2,intersection,,,24.0508333,91.1144444,0.0,85.823
N207,N2,intersection,,,24.2947219,91.5100833,0.0,145.961
N207,N2,intersection,,,24.6264993,91.6774993,0.0,190.892
N208,N2,intersection,,,24.8776938,91.8752771,0.0,227.757
N204,N2,intersection,,,24.1478608,91.3464441,0.0,116.294
N204,N2,intersection,,,24.2676938,91.4768882,0.0,141.309
