road,model_type,condition,name,lat,lon,length,chainage,road name2
N1,sourcesink,,Start of Road  after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,,0.0,
N1,bridge,A,.,23.7028888888888,90.4503888888889,11.3,1.8,
N1,bridge,A,.,23.6936111111111,90.4788333333333,6.6,4.925,
N1,intersection,,,23.7060833,90.5215271,,8.763,N2
N1,bridge,C,KANCHPUR PC GIRDER BRIDGE,23.7020833333333,90.5159166666666,397.0,8.976,
N1,bridge,B,KATCHPUR BOX CULVERT,23.7020555555555,90.5281944444444,8.0,10.543,
N1,bridge,A,NOYAPARA CULVERT,23.6998333333333,90.5307222222222,6.3,10.88,
N1,bridge,A,ADUPUR CULVERT,23.6996666666666,90.5307222222222,6.3,10.897,
N1,bridge,A,NAYABARI KASPUR BOX CULVERT,23.6973611111111,90.5338333333333,8.3,11.296,
N1,bridge,B,NAYABARI BOX CULVERT,23.6943055555555,90.5378611111111,10.6,11.808,
N1,intersection,,,23.6904163,90.546583,,11.936,N105
N1,bridge,A,KHAS PARA BOX CULVERT,23.6923333333333,90.541,9.3,12.239,
N1,bridge,A,DAWAN BAG BOX CULVERT,23.6925555555555,90.5411388888888,6.1,12.253,
N1,bridge,A,Madanpur Bridge.(L),23.6854997,90.5512778,27.5,12.66,
N1,bridge,A,Madanpur Bridge(R),23.6853619779342,90.5513591765258,27.5,12.688,
N1,bridge,A,KAWTALA BOX CULVERT,23.6856111111111,90.5511944444444,11.9,13.574,
N1,bridge,B,MALIBAG BOX CULVERT,23.6706111111111,90.56,5.55,15.465,
N1,bridge,C,Langalbandh Bridge.,23.6559167,90.5745271,159.52,17.134,
N1,bridge,A,Darikandi Bridge (L),23.6508889,90.5826382,20.5,17.222,
N1,bridge,B,DARIKANDI BRIDGE (R),23.6560833333333,90.5743888888888,20.0,17.722,
N1,bridge,A,Sonakhal Bridge(L),23.6497543993548,90.5845490085483,25.5,18.093,
N1,bridge,C,MOLLIK PARA BRIDGE (R),23.6503888888888,90.5823611111111,40.5,18.742,
N1,bridge,A,KRIBORDI BOX CULVERT,23.6468055555555,90.5899166666666,6.0,19.76,
N1,bridge,B,SHADIPUR BOX CULVERT,23.6398055555555,90.5926666666666,10.4,20.397,
N1,bridge,A,Marikhali Bridge(R),23.6284668507692,90.6023015723077,89.75,21.184,
N1,bridge,B,SANGAKADI CULVERT,23.6263055555555,90.604,5.5,22.328,
N1,bridge,B,Ashariarchar Bridge(R),23.6176407964705,90.6095506105882,224.82,22.596,
N1,bridge,A,ASHARIR CHAR (L),23.6205277777777,90.6079166666666,120.1,23.081,
N1,bridge,A,Meghna Bridge,23.6018611,90.6159722,924.85,24.393,
N1,bridge,A,TATULTALA CULVERT,23.598,90.6221944444444,5.6,26.115,
N1,bridge,A,BAILAKANDI CULVERT,23.5961666666666,90.6246944444444,5.5,26.452,
N1,bridge,A,MALUAKANDI CULVEDRT,23.5917499999999,90.6293333333333,5.6,27.12,
N1,bridge,A,Bhater char Bridge (R),23.5825827,90.6381386,173.25,28.315,
N1,bridge,A,Anarpara Bridge (L),23.572166,90.6451108,29.85,29.138,
N1,bridge,A,VITIKANDA - ANAR PUR CULVERT,23.5723611111111,90.6451666666666,34.7,29.842,
N1,bridge,A,Alipur bridge(R),23.5590278,90.6559444,27.4,30.908,
N1,bridge,A,Bhaber char Bridge(R),23.5523333,90.6636667,29.85,31.472,
N1,bridge,A,Baushia Bridge(L),23.5517421907216,90.6643538752577,29.9,32.121,
N1,bridge,A,PURRANBUICHE BOX CULVERT,23.5524166666666,90.6636111111111,9.1,32.777,
N1,bridge,A,NOYAPARA,23.5523611111111,90.6636666666666,5.2,32.796,
N1,bridge,A,Madhya Baushia Bridge(L),23.5473611111111,90.6695,72.49,33.591,
N1,bridge,C,BOCTAR KANDI BOX CULVERT,23.5442777777777,90.6730833333333,5.1,34.111,
N1,bridge,A,.,23.5342222222222,90.6843333333333,9.5,35.181,
N1,bridge,A,Baushia bazar Bridge( L ),23.529916,90.6952219,25.45,35.408,
N1,bridge,A,CHAR BOUSHEA (2),23.5340833333333,90.6841944444444,8.4,35.707,
N1,bridge,C,Daud Kandi Bridge,23.5298611111111,90.6951388888888,1408.8,37.01,
N1,bridge,C,Baldhakhal Bridge,23.522818601848,90.7242859256673,23.1,39.304,
N1,bridge,B,MAIS PARA BOX CULVERT,23.5334722222222,90.7227222222222,6.0,39.86,
N1,bridge,C,Shahid Nagor Bridge,23.5298050611,90.75825325,16.5,42.936,
N1,bridge,C,SARKAR BARI CULVERT,23.5303888888888,90.7731111111111,3.9,45.164,
N1,bridge,C,AMIRABATH SLAB CULVERT,23.53175,90.7895,6.5,46.871,
N1,bridge,C,Ginlatoly,23.5309444444444,90.8041944444444,15.9,48.384,
N1,bridge,A,RAIPUR BOX CULVERT,23.5347222222222,90.825,12.2,50.558,
N1,bridge,C,AITAL BANGA BOX CULVERT,23.5265,90.8391944444444,4.5,52.313,
N1,bridge,B,ILLIOT BAZER,23.5131944444444,90.8705833333333,28.9,56.006,
N1,bridge,B,KHAT GHOR BOX CULVERT,23.5055555555555,90.8986388888889,5.9,58.838,
N1,bridge,B,BAKRA BOX CULVERT,23.5059444444444,90.9152222222222,3.0,60.83,
N1,bridge,B,MATIA BAZER,23.5038888888888,90.9371388888889,6.0,63.098,
N1,bridge,A,SONAPUR BOX CULVERT,23.5023888888888,90.9420277777777,3.0,63.538,
N1,bridge,B,KARON KHAL SLAB CULVERT,23.4981111111111,90.9660833333333,4.6,66.178,
N1,bridge,A,MILL GHAT BOX CULVERT,23.4951944444444,90.983,4.5,68.04,
N1,bridge,C,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,23.4890555555555,91.0120555555555,23.1,71.156,
N1,bridge,B,CORI PAI BOX CULVERT,23.4812777777777,91.0411388888888,4.6,74.279,
N1,bridge,B,COREPAI BOX CULVERT,23.4820833333333,91.0504444444444,4.6,75.312,
N1,bridge,A,NIMSHAR SLAB CULVERT,23.4815277777777,91.0617777777777,1.5,76.481,
N1,bridge,C,KABILA DUBARCHAR SLAB CULVERT,23.4770277777777,91.0792777777777,1.0,78.382,
N1,bridge,B,NAZIRA BOX CULVERT,23.4778611111111,91.1036666666666,3.0,80.949,
N1,intersection,,,23.4789716,91.118166,,81.846,N102
N1,bridge,A,TIPRA BAZAR BOX CULVERT,23.4788333333333,91.1177499999999,1.4,82.437,
N1,bridge,A,AMTOLI SLAB CULVERT,23.4792777777777,91.1234999999999,2.9,82.989,
N1,bridge,A,DHANPUR RCC GIDER BRIDGE,23.4489444444444,91.14725,23.4,87.713,
N1,bridge,C,Paduar Bazar Bridge,23.4212487704918,91.1678943372365,35.97,91.092,
N1,bridge,B,MOSTAPUR RCC GIDER BRIDGE,23.4131111111111,91.1846111111111,27.9,93.6,
N1,bridge,A,RAZAPARA RCC GIDER BRIDGE,23.4037777777777,91.2175833333333,27.9,97.257,
N1,bridge,A,Suagazi Bridge.,23.3914441,91.2293049,30.48,100.938,
N1,bridge,C,Lalbag Bridge.,23.3683327,91.2471108,22.88,103.456,
N1,bridge,A,CHANSIRI BOXCUIVERT,23.3488055555555,91.2599166666666,14.3,104.753,
N1,bridge,A,MIABAZAR BOX CULVERT,23.336,91.2701111111111,24.0,106.519,
N1,bridge,A,NOYA BAZER BOX CULVERT,23.3241944444444,91.2790833333333,9.2,108.125,
N1,bridge,B,DOLL BARI CULVERT,23.3150277777777,91.2844722222222,19.2,109.289,
