road,model_type,name,lat,lon
N1,sourcesink,SoSi1,23.7060278,90.443333
N1,sourcesink,SoSi2,20.8629167,92.298083
N101,sourcesink,SoSi3,23.4541389,91.2128611
N101,sourcesink,SoSi4,23.4593056,91.2533889
N102,sourcesink,SoSi5,23.4789716,91.1181938
N102,sourcesink,SoSi6,24.0506111,91.1146667
N103,sourcesink,SoSi7,23.9570278,91.1155278
N103,sourcesink,SoSi8,23.9968886,91.1092778
N104,sourcesink,SoSi9,23.0096667,91.3994163
N104,sourcesink,SoSi10,22.8257493,91.1014444
N105,sourcesink,SoSi11,23.6904163,90.5466108
N105,sourcesink,SoSi12,23.9895274,90.3582222
N106,sourcesink,SoSi13,22.3935552,91.8215827
N106,sourcesink,SoSi14,22.6485274,92.2018333
N107,sourcesink,SoSi15,22.3944163,91.891833
N107,sourcesink,SoSi16,22.3159722,91.9235827
N108,sourcesink,SoSi17,22.1021389,92.0740827
N108,sourcesink,SoSi18,22.1960552,92.2176104
N109,sourcesink,SoSi19,21.4433608,92.1014722
N109,sourcesink,SoSi20,21.4284716,92.0953052
N110,sourcesink,SoSi21,21.4259438,92.0232493
N110,sourcesink,SoSi22,21.4359997,91.9715827
N111,sourcesink,SoSi23,22.393444100000004,91.7491386
N111,sourcesink,SoSi24,21.2984719,91.7922219
N112,sourcesink,SoSi25,23.0091944,91.3693882
N112,sourcesink,SoSi26,23.0318604,91.3742493
N119,sourcesink,SoSi27,23.4914441,90.9936108
N119,sourcesink,SoSi28,23.4867774,91.0128056
N120,sourcesink,SoSi29,23.4772771,91.1361108
N120,sourcesink,SoSi30,23.3581667,91.2534722
N123,sourcesink,SoSi31,22.8941386,91.5344719
N123,sourcesink,SoSi32,22.8357497,91.5488886
N124,sourcesink,SoSi33,22.8100556,91.5564722
N124,sourcesink,SoSi34,22.8029722,91.55925
N125,sourcesink,SoSi35,22.7603889,91.5826104
N125,sourcesink,SoSi36,22.7526111,91.5890552
N126,sourcesink,SoSi37,22.7603889,91.5826104
N126,sourcesink,SoSi38,22.7526111,91.5890552
N127,sourcesink,SoSi39,22.6608056,91.6340274
N127,sourcesink,SoSi40,22.6585556,91.6354997
N128,sourcesink,SoSi41,22.624666,91.6548056
N128,sourcesink,SoSi42,22.61475,91.6608611
N129,sourcesink,SoSi43,22.5226382,91.7040833
N129,sourcesink,SoSi44,22.5015833,91.7134722
N2,sourcesink,SoSi45,23.7059167,90.5214438
N2,sourcesink,SoSi46,25.1570556,92.0176382
N203,sourcesink,SoSi47,24.0537222,90.9875552
N203,sourcesink,SoSi48,24.05075,90.9951108
N204,sourcesink,SoSi49,24.1479163,91.3466108
N204,sourcesink,SoSi50,24.2673882,91.4771382
N205,sourcesink,SoSi51,24.8677771,91.8571111
N205,sourcesink,SoSi52,24.886083,91.8680827
N206,sourcesink,SoSi53,24.885944100000003,91.868166
N206,sourcesink,SoSi54,24.8939441,91.87830490000002
N207,sourcesink,SoSi55,24.2948608,91.51025
N207,sourcesink,SoSi56,24.6263327,91.6775271
N208,sourcesink,SoSi57,24.4713604,91.7655556
N208,sourcesink,SoSi58,24.8775549,91.8753604
N209,sourcesink,SoSi59,24.8775549,91.8753604
N209,sourcesink,SoSi60,24.885944100000003,91.868166
N210,sourcesink,SoSi61,24.916277800000003,91.9495552
N210,sourcesink,SoSi62,24.8479997,91.8967497
N211,sourcesink,SoSi63,24.485583,91.7655833
N211,sourcesink,SoSi64,24.485888600000003,90.4264438
N212,sourcesink,SoSi65,25.1813882,92.0347219
N212,sourcesink,SoSi66,25.1836663,92.032166
N213,sourcesink,SoSi67,24.0387497,91.0033889
N213,sourcesink,SoSi68,24.0423608,91.0009444
N3,sourcesink,SoSi69,23.8145833,90.4043056
N3,sourcesink,SoSi70,24.7575,90.40675
N302,sourcesink,SoSi71,23.8805827,90.4011389
N302,sourcesink,SoSi72,23.937944100000003,90.2698327
N303,sourcesink,SoSi73,24.6712771,90.4035833
N303,sourcesink,SoSi74,24.6784993,90.4071667
N309,sourcesink,SoSi75,24.740083,90.4249993
N309,sourcesink,SoSi76,24.7822771,90.3442219
N4,sourcesink,SoSi77,23.9893886,90.3818327
N4,sourcesink,SoSi78,24.9230549,89.9501667
N401,sourcesink,SoSi79,24.6071667,90.0287493
N401,sourcesink,SoSi80,24.7636667,90.4060278
N402,sourcesink,SoSi81,24.9718049,90.1785549
N402,sourcesink,SoSi82,25.2005556,90.2242493
N403,sourcesink,SoSi83,24.0964997,90.1162222
N403,sourcesink,SoSi84,24.1073611,90.0856108
N404,sourcesink,SoSi85,24.2425552,89.9404719
N404,sourcesink,SoSi86,24.283638600000003,89.91727709999999
N405,sourcesink,SoSi87,24.4228049,89.5963608
N405,sourcesink,SoSi88,24.4190827,89.5518056
