Unnamed: 0,road,name,LRP Start,Offset Start,Chainage Start,LRP_end,Óffset_end,Chainage_end,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitude Decimal,road_number,EVV,Chainage,Chainag_end,Condition_A_Count,Condition_B_Count,Condition_C_Count,Condition_D_Count,Flood_Risk_A_Count,Flood_Risk_B_Count,Flood_Risk_C_Count,Flood_Risk_D_Count,Weighted_Sum
0,N1,Jatrabari - Int.with Z1101  ,LRPS,0,0.0,LRPS,822,0.822,0.822,531.0,5998.5,1350.5,2793.0,748.5,2065.0,359.0,2229.5,2744.0,417.0,222.5,988.5,0.0,19236.0,1211.0,20447.0,20447.0,LRPS,0.0,Others,Start of Road after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1,111888.75,0.0,0.822,,,,,,,,,
3,N1,Int.with Z1101 - Signboard  R111 ,LRPS,822,0.822,LRPS,4175,4.175,3.353,531.0,5998.5,1350.5,2793.0,748.5,2065.0,359.0,2229.5,2744.0,417.0,222.5,988.5,0.0,19236.0,1211.0,20447.0,20447.0,LRPS,0.0,Others,Start of Road after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1,111888.75,0.822,4.175,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
6,N1,Signboard - Shimrail R110 ,LRPS,4175,4.175,LRPS,7181,7.181,3.006,88.0,2625.0,2118.5,2473.0,1730.5,1603.5,306.0,1649.5,2211.5,1061.0,73.5,1169.0,0.0,15866.5,1242.5,17109.0,17109.0,LRPS,0.0,Others,Start of Road after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1,84977.25,4.175,7.181,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
9,N1,Shimrail - Katchpur N2 ,LRPS,7181,7.181,LRP009,260,8.763,1.582,163.5,2930.0,1463.0,2507.0,1406.0,1357.0,332.5,1763.5,2923.5,1152.5,364.0,1304.0,0.0,15998.5,1668.0,17666.5,17666.5,LRPS,0.0,Others,Start of Road after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1,82859.5,7.181,8.763,,,,,,,,,
12,N1,Katchpur - Madanpur N105 ,LRP009,260,8.763,LRP012,439,11.936,3.173,163.5,4692.0,3349.5,3088.0,2599.5,2269.0,297.0,1842.0,3117.0,1148.5,364.0,1304.0,0.0,22566.0,1668.0,24234.0,24234.0,LRP009,8.503,Km Post,"Chittagong 251 km,Comilla 84 km",23.7050278,90.5193327,N1,126461.0,8.763,11.936,4.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,18.0
15,N1,Madanpur - Langalband Z1061 ,LRP012,439,11.936,LRP013,3411,15.935,3.999,163.5,4692.0,3349.5,3088.0,2599.5,2269.0,297.0,1842.0,3117.0,1148.5,364.0,1304.0,0.0,22566.0,1668.0,24234.0,24234.0,LRP012,11.497,Km Post,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,N1,126461.0,11.936,15.935,7.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,17.0
18,N1,Langalband - Mograpara Chowrasta Z1089 ,LRP013,3411,15.935,LRP013,7520,20.044,4.109,163.5,4692.0,3349.5,3088.0,2599.5,2269.0,297.0,1842.0,3117.0,1148.5,364.0,1304.0,0.0,22566.0,1668.0,24234.0,24234.0,LRP013,12.524,Km Post,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,N1,126461.0,15.935,20.044,4.0,9.0,2.0,0.0,15.0,0.0,0.0,0.0,43.0
21,N1,Mograpara(Int.with Z1089)-Meghna Bridge West End  ,LRP013,7520,20.044,LRP022,1935,23.564,3.52,299.5,5156.5,1060.5,1710.0,705.0,1655.0,399.5,2049.0,1242.0,212.0,34.0,163.5,0.0,14489.0,197.5,14686.5,14686.5,LRP013,12.524,Km Post,"Ctg 247 km,Comilla 80 km",23.6865274,90.5504167,N1,86367.5,20.044,23.564,7.0,6.0,0.0,0.0,13.0,0.0,0.0,0.0,32.0
24,N1,Meghna Bridge Satrt-Bhaberchar  z1063 ,LRP022,1935,23.564,LRP031,162,30.936,7.372,299.5,5156.5,1060.5,1710.0,705.0,1655.0,399.5,2049.0,1242.0,212.0,34.0,163.5,0.0,14489.0,197.5,14686.5,14686.5,LRP022,21.629,Km Post,"Ctg 238 km,Comilla 71 km",23.6252216,90.6049722,N1,86367.5,23.564,30.936,15.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,37.0
27,N1,Bhaberchar(Int.with Z1063)-Daudkandi Bridge  ,LRP031,162,30.936,LRP033,3664,36.271,5.335,299.5,5156.5,1060.5,1710.0,705.0,1655.0,399.5,2049.0,1242.0,212.0,34.0,163.5,0.0,14489.0,197.5,14686.5,14686.5,LRP031,30.774,Km Post,"Ctg 229 km,Comilla 62 km",23.5599722,90.6548056,N1,86367.5,30.936,36.271,18.0,2.0,1.0,0.0,21.0,0.0,0.0,0.0,46.0
