,road,name,LRP Start,Offset Start,Chainage Start,LRP_end,Óffset_end,Chainage_end,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitude Decimal,road_number,EVV
0,N1,Jatrabari - Int.with Z1101 (Left) (Left),LRPS,0,0.0,LRPS,822,0.822,0.822,531.0,5998.5,1350.5,2793.0,748.5,2065.0,359.0,2229.5,2744.0,417.0,222.5,988.5,0.0,19236.0,1211.0,20447.0,20447.0,LRPS,0,Others,Start of Road after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1,111888.75
3,N1,Int.with Z1101 - Signboard (Left) R111 (Left),LRPS,822,0.822,LRPS,4175,4.175,3.353,531.0,5998.5,1350.5,2793.0,748.5,2065.0,359.0,2229.5,2744.0,417.0,222.5,988.5,0.0,19236.0,1211.0,20447.0,20447.0,LRPS,0,Others,Start of Road after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1,111888.75
6,N1,Signboard - Shimrail (Left)R110 (Left),LRPS,4175,4.175,LRPS,7181,7.181,3.006,88.0,2625.0,2118.5,2473.0,1730.5,1603.5,306.0,1649.5,2211.5,1061.0,73.5,1169.0,0.0,15866.5,1242.5,17109.0,17109.0,LRPS,0,Others,Start of Road after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1,84977.25
9,N1,Shimrail - Katchpur (Left)N2 (Left),LRPS,7181,7.181,LRP009,260,8.763,1.582,163.5,2930.0,1463.0,2507.0,1406.0,1357.0,332.5,1763.5,2923.5,1152.5,364.0,1304.0,0.0,15998.5,1668.0,17666.5,17666.5,LRPS,0,Others,Start of Road after Jatrabari Flyover infront of filling station.,23.7060278,90.443333,N1,82859.5
12,N1,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left),LRP105,3631,105.879,LRP105,17450,119.698,13.819,307.5,5661.5,809.0,1331.0,314.0,519.0,269.5,778.5,1420.5,377.0,68.0,143.5,0.0,11787.5,211.5,11999.0,11999.0,LRP105,102.248,Km Post,"Ctg 156 km,Feni 43 km",23.3615278,91.2515556,N1,74365.5
15,N1,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Left),LRP105,17450,119.698,LRP142,230,138.869,19.171,428.5,3676.5,794.5,770.5,309.0,681.0,278.5,548.5,844.5,338.5,34.5,118.0,0.0,8670.0,152.5,8822.5,8822.5,LRP105,102.248,Km Post,"Ctg 156 km,Feni 43 km",23.3615278,91.2515556,N1,54554.75
18,N1,Madanpur - Langalband (Left)Z1061 (Left),LRP012,439,11.936,LRP013,3411,15.935,3.999,163.5,4692.0,3349.5,3088.0,2599.5,2269.0,297.0,1842.0,3117.0,1148.5,364.0,1304.0,0.0,22566.0,1668.0,24234.0,24234.0,LRP012,11.497,Km Post,"Chittagong 248 km,Comilla 81 km",23.6918052,90.5426108,N1,126461.0
21,N1,Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Left),LRP142,230,138.869,LRP143,500,140.251,1.382,428.5,3676.5,794.5,770.5,309.0,681.0,278.5,548.5,844.5,338.5,34.5,118.0,0.0,8670.0,152.5,8822.5,8822.5,LRP142,138.639,Km Post,Ctg 103 km,23.0635278,91.3616389,N1,54554.75
24,N1,Int.with Z1031 - Elahiganj (Feni) Z1030 (Left),LRP143,500,140.251,LRP146,240,143.034,2.783,677.0,4804.0,1204.5,2078.5,627.5,977.5,232.5,764.5,1444.0,378.5,120.0,231.5,0.0,13188.5,351.5,13540.0,13540.0,LRP143,139.751,Km Post,Ctg 102 km,23.0538611,91.3637222,N1,83384.5
27,N1,Elahiganj (Feni) Z1030- Feni (Int.with N104) (Left),LRP146,240,143.034,LRP147,1614,145.409,2.375,677.0,4804.0,1204.5,2078.5,627.5,977.5,232.5,764.5,1444.0,378.5,120.0,231.5,0.0,13188.5,351.5,13540.0,13540.0,LRP146,142.794,Km Post,"Ctg 99 km,Feni 3 km",23.0269716,91.3655,N1,83384.5
